Accuracy,Accuracy Validation,Loss,Loss Validation
Number Of features = ,12
100.00%,76.19%,0.0295,0.8777
100.00%,85.71%,0.0181,0.2465
100.00%,85.71%,0.0214,0.4181
90.00%,90.48%,0.1060,0.2672
90.00%,90.48%,0.1816,0.3541
Number Of features = ,13
100.00%,90.48%,0.0213,0.3218
100.00%,95.24%,0.0193,0.3287
100.00%,85.71%,0.0860,0.3284
100.00%,85.71%,0.0164,0.4516
100.00%,90.48%,0.0323,0.3633
Number Of features = ,14
100.00%,76.19%,0.0295,0.9269
90.00%,80.95%,0.2383,0.5094
100.00%,95.24%,0.0225,0.0921
100.00%,85.71%,0.0432,0.4963
100.00%,95.24%,0.0251,0.1562
Number Of features = ,15
100.00%,90.48%,0.0159,0.2508
100.00%,100.00%,0.0107,0.0311
100.00%,90.48%,0.0258,0.5817
100.00%,90.48%,0.0224,0.3061
100.00%,90.48%,0.0309,0.5822
Number Of features = ,16
100.00%,90.48%,0.0134,0.4062
100.00%,90.48%,0.0271,0.2541
100.00%,80.95%,0.0090,0.4574
90.00%,90.48%,0.3167,0.2623
90.00%,85.71%,0.1728,0.2863
Number Of features = ,17
100.00%,90.48%,0.0220,0.6265
100.00%,90.48%,0.0115,0.3413
100.00%,90.48%,0.0053,0.3896
100.00%,95.24%,0.0058,0.1722
100.00%,85.71%,0.0180,0.7648
Number Of features = ,18
100.00%,80.95%,0.0177,0.4069
100.00%,80.95%,0.0345,0.8392
100.00%,71.43%,0.0071,1.4253
100.00%,95.24%,0.0104,0.1499
100.00%,57.14%,0.0304,1.0747
Number Of features = ,19
100.00%,95.24%,0.0088,0.1509
100.00%,95.24%,0.0023,0.1117
100.00%,90.48%,0.0151,0.4125
100.00%,85.71%,0.0478,0.4507
100.00%,90.48%,0.0121,0.1434
Number Of features = ,20
100.00%,95.24%,0.0102,0.1171
90.00%,76.19%,0.1133,0.6592
100.00%,90.48%,0.0689,0.2702
100.00%,85.71%,0.0226,0.3600
100.00%,90.48%,0.0101,0.7828
Number Of features = ,21
100.00%,80.95%,0.0068,0.7177
100.00%,95.24%,0.0110,0.3227
100.00%,76.19%,0.0058,1.1593
100.00%,85.71%,0.0066,0.5892
90.00%,95.24%,0.2403,0.0907
Number Of features = ,22
90.00%,80.95%,0.1002,0.6653
100.00%,80.95%,0.0111,0.5401
100.00%,80.95%,0.0120,0.5525
100.00%,95.24%,0.0981,0.2174
100.00%,95.24%,0.0809,0.2280
Number Of features = ,23
100.00%,100.00%,0.0415,0.0201
100.00%,76.19%,0.0035,1.2794
100.00%,95.24%,0.0038,0.1008
100.00%,95.24%,0.0170,0.1923
100.00%,90.48%,0.0046,0.4175
Number Of features = ,24
100.00%,90.48%,0.0107,0.3137
100.00%,90.48%,0.1081,0.4972
90.00%,95.24%,0.1271,0.0807
100.00%,95.24%,0.0127,0.1244
100.00%,95.24%,0.0064,0.2901
Number Of features = ,25
100.00%,85.71%,0.0109,0.5028
100.00%,90.48%,0.0155,0.3211
100.00%,95.24%,0.0166,0.2773
100.00%,80.95%,0.0279,0.8408
90.00%,90.48%,0.1312,0.5901
Number Of features = ,26
100.00%,90.48%,0.0111,0.2492
100.00%,85.71%,0.0143,0.5751
100.00%,76.19%,0.0110,0.7808
100.00%,85.71%,0.0068,0.4101
100.00%,85.71%,0.0136,0.3885
